date,weight
17/03/2025,3.5
18/03/2025,3.0
19/03/2025,2.5
20/03/2025,2.5
21/03/2025,2.5
22/03/2025,3.0
23/03/2025,2.5
24/03/2025,3.0
25/03/2025,3.0
26/03/2025,3.0
27/03/2025,3.0
28/03/2025,3.5
29/03/2025,3.0
30/03/2025,3.0
31/03/2025,3.0
01/04/2025,3.0
02/04/2025,3.0
03/04/2025,3.5
04/04/2025,4.0
05/04/2025,3.0
06/04/2025,3.0
07/04/2025,3.0
08/04/2025,3.0
09/04/2025,3.0
10/04/2025,3.0
11/04/2025,3.5
12/04/2025,3.0
13/04/2025,3.0
14/04/2025,3.0
15/04/2025,3.0
16/04/2025,3.0
17/04/2025,3.0
18/04/2025,3.0
19/04/2025,3.0
20/04/2025,3.0
21/04/2025,3.0
22/04/2025,3.0
23/04/2025,3.0
24/04/2025,3.5
25/04/2025,3.5
26/04/2025,3.0
27/04/2025,3.5
28/04/2025,3.0
29/04/2025,3.0
30/04/2025,3.0
01/05/2025,2.5
02/05/2025,3.0
03/05/2025,3.0
04/05/2025,3.0
05/05/2025,3.0
06/05/2025,3.0
07/05/2025,3.0
08/05/2025,3.5
09/05/2025,3.5
10/05/2025,3.0
11/05/2025,3.5
12/05/2025,3.3
13/05/2025,3.5
14/05/2025,3.5
15/05/2025,3.0
16/05/2025,3.5
17/05/2025,3.5
18/05/2025,3.5
19/05/2025,3.5
20/05/2025,3.5
21/05/2025,3.0
22/05/2025,3.5
